,path,freq
227,direct maildirect mailemailemailpaid searchpaid searchpaid searchpaid searchpurchase,5
228,organic searchdisplaypaid searchpurchase,5
229,organic searchemailemailemailemailorganic socialpurchase,5
230,organic searchorganic searchpaid searchpaid socialpaid socialpaid socialpaid socialpurchase,5
231,emailsmssmspurchase,5
232,emailemaildisplaydisplaydisplaypaid searchpurchase,5
233,emailsmspaid searchpaid searchpurchase,5
234,smspaid socialpaid socialpurchase,5
235,paid socialpaid socialpaid socialpaid socialpaid socialorganic socialpurchase,5
236,direct mailemailemaildisplaypurchase,5
237,emailemaildisplaypaid socialpurchase,5
238,paid searchnon paidorganic searchpurchase,5
239,paid searchorganic searchpaid searchorganic searchpurchase,5
240,paid searchdirect mailorganic searchsmspurchase,5
241,emailemailpaid socialpurchase,5
242,paid socialorganic searchpurchase,5
243,paid socialsmspurchase,10
244,direct mailpaid socialorganic searchpurchase,5
245,paid searchemailpaid searchemailpurchase,5
246,paid searchsmsemailpurchase,5
247,paid searchpaid searchpaid searchpaid socialpaid socialdisplaypurchase,5
248,paid socialpaid socialpaid socialdisplaypurchase,5
249,paid socialpaid socialemailpurchase,5
250,paid socialpaid socialpaid socialpaid socialorganic socialpurchase,5
251,organic searchdirect mailsmspurchase,5
252,organic searchpaid searchdisplaysmspurchase,5
253,direct mailemailemailemailsmspurchase,5
254,paid searchdirect mailsmspurchase,5
255,paid searchpaid searchdisplaydisplaydisplaypurchase,5
256,displaydisplaypaid socialpaid socialpaid socialpaid socialpaid socialpaid socialpaid socialpaid socialpaid socialpaid socialpaid socialpaid socialorganic socialpurchase,5
257,smspaid socialpurchase,5
258,paid socialpaid socialpaid socialpaid socialpaid socialpaid socialpaid socialpaid socialpaid socialpaid socialpaid socialpaid socialpaid socialpaid socialorganic socialpurchase,5
