,uid,time_to_purchase,total_events,path,new_to_file
3478,rbos-12795df5-2eeb-491a-a1c5-9e69124616ab,1893331.0,3,paid searchnon paidorganic searchpurchase,0
3479,rbos-6843bb5b-6491-4bfd-9cd4-ee17fc4e29e6,5656207.0,11,paid searchemailemailemailemailemailemailemailemailemailsmspaid searchemailemailemailemailemailemailemailemailemailsmspurchase,0
3480,rbos-8865cfdf-8ce1-4b1f-bd94-e5dbdbe55947,9872749.0,5,paid searchemaildirect mailnon paiddisplaypurchase,0
3481,rbos-8a68e95c-545c-4e22-a35b-bbcab7715157,13308394.0,14,paid searchpaid searchpaid searchpaid searchemailemailemailemailemailemailemailemailemailorganic searchpurchase,0
3482,rbos-6b4949e5-74b3-45cb-bd19-527a0308364c,18.0,2,paid searchorganic searchpurchase,1
3483,rbos-f1dbe626-2fbb-40ac-8376-5a1e0780507a,7191488.0,10,paid searchemailemailemailemailemailemailemailemailemailpurchase,0
3484,7093617501541843220,24893340.0,7,paid searchpaid searchemailemailemaildirect maildisplaypurchase,0
3485,rbos-5690d594-92d7-41a1-966f-2a5a413f0027,0.0,1,paid searchpurchase,0
3486,rbos-da630a58-d2b3-4007-b224-ef47cae41cd1,12701743.0,17,paid searchpaid searchpaid searchpaid searchemailemailemailemailemailemailemailemailemailemailnon paidorganic searchdisplaypurchase,0
3487,rbos-cb25e913-59fb-42d8-83c8-d964196ac11f,2016033.0,3,paid searchdirect maildirect mailpurchase,0
3488,2032532275816783949,4460828.0,3,paid searchnon paidnon paidpurchase,0
3489,rbos-d8441727-13d3-4d58-a367-0e0032b2e8f1,3234161.0,2,paid searchorganic searchpurchase,1
3490,rbos-3d753702-d3c0-42f4-b547-d8e2be4b4d99,2339302.0,3,paid searchemaildirect mailpurchase,0
3491,rbos-4821075f-382c-49da-acc5-6ecdcf356d00,0.0,1,paid searchpurchase,0
3492,rbos-09a91203-3a01-442c-a9f9-179deba6d120,3484851.0,6,paid searchemailemailemailemaildirect mailpurchase,0
3493,rbos-36982ad2-65bc-45e4-b23e-48c603a6eab8,14430338.0,10,paid searchemailemailemailemaildirect mailorganic searchorganic searchorganic searchsmspurchase,0
3494,4306051598215729923,9201778.0,4,paid searchemaildirect mailorganic searchpurchase,0
3495,rbos-447c88cc-43cb-404a-8e60-f32a6a659362,9619058.0,2,paid searchdirect mailpurchase,0
3496,rbos-1b80742b-e3de-432d-bacc-a2a8deb57c41,1307173.0,8,paid searchpaid searchpaid searchdirect mailorganic searchorganic searchaffiliateaffiliatepurchase,0
3497,rbos-7985e81d-e4f9-462c-bda5-0a842af3edbe,2509302.0,3,paid searchdirect maildirect mailpaid searchdirect maildirect mailpaid searchpaid searchdirect mailpaid searchpaid searchdirect mailpurchase,0
3498,rbos-2a7aa8cd-1695-44af-9bdb-44ef1d8946d8,0.0,1,paid searchpurchase,1
3499,rbos-549d2cc2-46a6-4531-8263-00cda85f8d20,0.0,1,paid searchpurchase,1
3500,rbos-53af7c3f-d674-4bfd-aa32-2612f2c425ce,0.0,1,paid searchpurchase,1
3501,rbos-d7a0a032-04fe-495a-97e4-e3961466770f,0.0,1,paid searchpurchase,1
3502,rbos-a5459470-922f-4b80-a88e-07c4ff496ad0,0.0,1,paid searchpurchase,1
3503,rbos-b73771ec-c294-4213-97db-36e72b28c989,0.0,1,paid searchpurchase,1
3504,rbos-b8e3f0e1-0218-4a2d-89c8-891476e465ab,25665.0,2,paid searchdirect mailpurchase,0
3505,rbos-95ed19d0-53ad-4af9-9151-2ae71486b12d,494.0,2,paid searchorganic searchpaid searchorganic searchpurchase,1
3506,rbos-0f3757aa-09f6-4144-acc6-bd30ece91d29,-20509.0,2,paid searchdirect mailpurchase,0
3507,rbos-69d7be39-f96b-4f61-b454-e8160432a6d8,0.0,1,paid searchpurchase,1
3508,rbos-a126506a-d61a-4fe5-a6da-cd65e979d431,-26147.0,4,paid searchdirect mailorganic searchsmspurchase,1
3509,rbos-d25f1b59-81ee-416d-8cfd-72c96d63b58b,1331654.0,4,paid searchdirect maildirect mailorganic searchpurchase,0
3510,rbos-3727ea83-8b8b-40e0-9fa8-b706a4bc8768,0.0,1,paid searchpurchase,1
3511,rbos-8d8fce70-5a2f-4843-9f7b-4f324b93daa1,-63898.0,3,paid searchdirect mailorganic searchpurchase,1
3512,rbos-1ef2e311-a7a3-4160-8134-3eaf7e820610,168390.0,2,paid searchnon paidpurchase,1
3513,rbos-ea3b29c4-2ba0-4a21-90e9-6c8d6da2cd6d,1335547.0,4,paid searchpaid searchdirect mailnon paidpurchase,0
3514,rbos-192e5ad9-abec-4f49-9d63-c1b368738feb,1078768.0,3,paid searchdirect maildirect mailpurchase,0
3515,rbos-e71e120c-4b05-481d-a5dc-64be5a977124,0.0,1,paid searchpurchase,1
3516,rbos-0e2c739d-02d8-4ce3-b7b1-27074a879b10,0.0,1,paid searchpurchase,0
3517,rbos-89c39994-77d0-4eac-b0e0-fe6211d2ad79,499336.0,5,paid searchemailemailemailnon paidpurchase,0
3518,rbos-fbe019a1-b339-478f-a5a6-9708fce0125b,484344.0,3,paid searchdirect maildirect mailpurchase,1
3519,rbos-537c9df9-aab3-4e0d-99c1-ed12f198189f,0.0,1,paid searchpurchase,1
3520,rbos-25d91b3a-846f-4183-9f31-413dd4a7e68e,-7843.0,7,paid searchemailemailemailemailemaildirect mailpurchase,0
3521,rbos-5eedcfd8-e95b-41f4-8b3d-0fd4b0586c20,12375110.0,4,emailemailemailemailpurchase,0
3522,rbos-afb2c48d-c9bb-47ea-98e4-3c18a0759690,9906019.0,9,emailemailemailemailemailemailemaildirect mailnon paidpurchase,0
3523,rbos-bb6c7e5a-6eb2-453b-8ebf-6f85ddaae961,10963670.0,8,emailemailemailemailemailemailorganic searchorganic searchpurchase,0
3524,rbos-fa91cad8-70cd-4e78-a7f5-49d45873665d,2469106.0,10,emailemailemailemailemailemaildirect mailnon paidnon paidsmspurchase,0
3525,rbcr-6fac1ee2-91d7-4636-ba73-beee82a98798,-441073.0,2,emailorganic searchpurchase,0
3526,rbos-1f475688-8467-492b-9b93-3ca451f1d482,14812377.0,4,emailemaildirect mailorganic searchpurchase,0
3527,rbos-9eb9ae07-7b63-4238-941c-c5c86dd4122f,14124618.0,12,emailemailemailemailemailemailemailemaildirect maildisplaydisplaydisplaypurchase,0
3528,rbos-ecf1e3b1-cee9-4416-a49a-46c3176fd37b,3406852.0,8,direct mailnon paidnon paidnon paidnon paidnon paidemailemailpurchase,0
3529,rbos-ecf1e3b1-cee9-4416-a49a-46c3176fd37b,3406313.0,5,emailemaildirect mailnon paidnon paidemailemaildirect mailnon paidnon paidpurchase,0
3530,rbos-7d87b573-fedc-408a-8017-a92d5d49a50b,5451856.0,7,emailemailemailemailemailemaildirect mailpurchase,0
3531,rbos-ee9f86e6-5d92-4965-9a2d-90582d6d4ce5,14475197.0,3,emailemailemailpurchase,0
3532,rbos-fa8edc51-2dba-4f74-81ea-37c94582411a,16482804.0,14,emailemailemailemailemailemailemailemailemailemailemailemailemaildirect mailpurchase,0
3533,rbos-e8698151-bb4b-4226-83a2-da5705156983,16689028.0,9,emailemailemailemailemailemailemaildirect mailorganic searchpurchase,0
3534,rbos-cc222629-daf3-43bb-8459-316c5dd563b2,8670417.0,7,emailemailemailemailemaildirect mailsmspurchase,0
